date,open,high,low,close,to symbol,from symbol
2024-10-17,7.0872,7.1283,7.0833,7.1249,CNY,USD
2024-10-13,7.0175,7.0883,7.0125,7.0652,CNY,USD
2024-09-29,7.0513,7.0618,7.0061,7.0103,CNY,USD
2024-09-22,7.0925,7.108,7.0423,7.0509,CNY,USD
2024-09-15,7.1136,7.1287,7.0895,7.0927,CNY,USD
2024-09-08,7.1166,7.1237,7.0808,7.0879,CNY,USD
2024-09-01,7.1181,7.1341,7.0826,7.0921,CNY,USD
2024-08-25,7.1405,7.1456,7.1153,7.124,CNY,USD
2024-08-18,7.174,7.1817,7.1219,7.164,CNY,USD
2024-08-11,7.1202,7.1816,7.1185,7.1663,CNY,USD
2024-08-04,7.2583,7.2638,7.0961,7.1572,CNY,USD
2024-07-28,7.2727,7.2764,7.2115,7.2501,CNY,USD
2024-07-21,7.2589,7.273,7.136,7.269,CNY,USD
2024-07-14,7.2671,7.2753,7.2481,7.2494,CNY,USD
2024-07-07,7.2669,7.2727,7.2644,7.2678,CNY,USD
2024-06-30,7.2577,7.2679,7.256,7.2658,CNY,USD
2024-06-23,7.255,7.2609,7.2522,7.2592,CNY,USD
2024-06-16,7.2468,7.2555,7.1792,7.2543,CNY,USD
2024-06-09,7.242,7.2468,7.2391,7.2468,CNY,USD
2024-06-02,7.2415,7.2494,7.2335,7.241,CNY,USD
2024-05-26,7.2317,7.2444,7.163,7.2415,CNY,USD
2024-05-19,7.2323,7.2389,7.2073,7.2227,CNY,USD
2024-05-12,7.208,7.2346,7.208,7.2258,CNY,USD
2024-05-05,7.2377,7.2434,7.2122,7.2362,CNY,USD
2024-04-28,7.2425,7.2464,7.238,7.2446,CNY,USD
2024-04-21,7.237,7.243,7.2324,7.2394,CNY,USD
2024-04-14,7.2297,7.2379,7.2273,7.2356,CNY,USD
2024-04-07,7.2297,7.2351,7.2274,7.2314,CNY,USD
2024-03-31,7.2084,7.2299,7.2073,7.2203,CNY,USD
2024-03-24,7.1972,7.2287,7.1942,7.2281,CNY,USD
2024-03-17,7.1838,7.1977,7.1711,7.195,CNY,USD
2024-03-10,7.1989,7.1995,7.1793,7.1852,CNY,USD
2024-03-03,7.1963,7.1984,7.187,7.1958,CNY,USD
2024-02-25,7.1972,7.1981,7.1777,7.1944,CNY,USD
2024-02-18,7.1922,7.1977,7.1166,7.1186,CNY,USD
2024-02-11,7.1085,7.193,7.0763,7.179,CNY,USD
2024-02-04,7.0845,7.1971,7.0669,7.1126,CNY,USD
2024-01-28,7.1927,7.1928,7.0542,7.0866,CNY,USD
2024-01-21,7.097,7.1964,7.0856,7.1071,CNY,USD
2024-01-14,7.09,7.1708,7.0621,7.1006,CNY,USD
2024-01-07,7.0686,7.1585,7.0659,7.0925,CNY,USD
2023-12-31,7.1355,7.1488,7.031,7.0686,CNY,USD
2023-12-24,7.132,7.1497,7.0585,7.0833,CNY,USD
2023-12-17,7.1742,7.1848,7.0275,7.0705,CNY,USD
2023-12-10,7.1352,7.1872,7.0878,7.1266,CNY,USD
2023-12-03,7.1303,7.1457,7.0477,7.0618,CNY,USD
2023-11-26,7.1675,7.168,7.0627,7.0819,CNY,USD
2023-11-19,7.289,7.2943,7.1632,7.2097,CNY,USD
2023-11-12,7.2686,7.2971,7.1818,7.1818,CNY,USD
2023-11-05,7.3121,7.3188,7.2661,7.2985,CNY,USD
2023-10-29,7.3141,7.3184,7.1587,7.1587,CNY,USD
2023-10-22,7.3093,7.3223,7.2983,7.3154,CNY,USD
2023-10-15,7.2904,7.351,7.1379,7.1681,CNY,USD
2023-10-08,7.1799,7.301,7.179,7.3005,CNY,USD
2023-10-01,7.3099,7.3116,7.1636,7.1636,CNY,USD
