date,open,high,low,close,to symbol,from symbol
2024-10-17,41.2072,41.2256,41.1891,41.2256,UAH,USD
2024-10-11,41.2202,41.2202,41.1756,41.2072,UAH,USD
2024-10-04,41.2085,41.2755,41.1664,41.2202,UAH,USD
2024-09-27,41.4445,41.4445,41.2085,41.2085,UAH,USD
2024-09-20,41.1855,41.4508,41.1855,41.4445,UAH,USD
2024-09-13,41.089,41.1855,41.0168,41.1855,UAH,USD
2024-09-06,41.2881,41.2881,41.089,41.089,UAH,USD
2024-08-30,41.2881,41.3591,41.1901,41.1901,UAH,USD
2024-08-23,41.1382,41.3459,41.138,41.2881,UAH,USD
2024-08-16,40.9926,41.3464,40.9926,41.1382,UAH,USD
2024-08-09,41.139,41.225,40.9847,40.9926,UAH,USD
2024-08-02,41.1977,41.1977,41.0063,41.139,UAH,USD
2024-07-26,41.422,41.4912,41.1977,41.1977,UAH,USD
2024-07-19,40.8823,41.686,40.8823,41.422,UAH,USD
2024-07-12,40.5458,40.8823,40.132,40.8823,UAH,USD
2024-07-05,40.5374,40.7476,40.4542,40.5458,UAH,USD
2024-06-28,40.4478,40.6545,40.4478,40.5374,UAH,USD
2024-06-21,40.6908,40.6908,40.5184,40.5184,UAH,USD
2024-06-14,40.1537,40.6908,40.1537,40.6908,UAH,USD
2024-06-07,40.5001,40.5373,40.1254,40.1537,UAH,USD
2024-05-31,39.9205,40.5001,39.9205,40.5001,UAH,USD
2024-05-24,39.4305,39.9205,39.4272,39.9205,UAH,USD
2024-05-17,39.5518,39.7206,39.4305,39.4305,UAH,USD
2024-05-10,39.5345,39.5518,39.2966,39.5518,UAH,USD
2024-05-03,39.6015,39.6688,39.5151,39.5345,UAH,USD
2024-04-26,39.7879,39.7879,39.0,39.6702,UAH,USD
2024-04-19,39.0,39.6037,39.0,39.6037,UAH,USD
2024-04-12,39.0201,39.1676,38.8437,39.1676,UAH,USD
2024-04-05,39.2214,39.3236,38.3361,39.0201,UAH,USD
2024-03-29,38.9234,39.343,38.9075,39.2214,UAH,USD
2024-03-22,38.6852,39.1399,38.6852,38.9234,UAH,USD
2024-03-15,38.3361,38.3361,38.3361,38.3361,UAH,USD
2024-03-08,38.3361,38.3361,38.3361,38.3361,UAH,USD
2024-03-01,38.4803,38.4803,37.9484,38.3361,UAH,USD
2024-02-23,37.9484,38.6237,37.9484,38.4803,UAH,USD
2024-02-16,37.5707,38.1734,37.5707,37.9484,UAH,USD
2024-02-09,37.6047,37.6254,37.5544,37.5707,UAH,USD
2024-02-02,37.5825,37.8862,37.5402,37.6047,UAH,USD
2024-01-26,37.7094,37.7094,37.4521,37.5825,UAH,USD
2024-01-19,37.9982,37.9982,37.7094,37.7094,UAH,USD
2024-01-12,38.0412,38.2253,37.9982,37.9982,UAH,USD
2024-01-05,37.9824,38.1159,37.3205,38.0412,UAH,USD
2023-12-29,36.57,37.9824,36.57,37.9824,UAH,USD
2023-12-15,36.57,36.57,36.57,36.57,UAH,USD
2023-12-08,36.57,36.57,36.57,36.57,UAH,USD
2023-12-01,36.57,36.57,36.57,36.57,UAH,USD
2023-11-24,36.57,36.57,36.57,36.57,UAH,USD
2023-11-17,36.57,36.57,36.57,36.57,UAH,USD
2023-11-10,36.57,36.57,36.57,36.57,UAH,USD
2023-11-03,36.57,36.57,36.57,36.57,UAH,USD
2023-10-27,36.57,36.57,36.57,36.57,UAH,USD
2023-10-20,36.57,36.57,36.57,36.57,UAH,USD
2023-10-13,36.57,36.57,36.57,36.57,UAH,USD
2023-10-06,36.57,36.57,36.57,36.57,UAH,USD
2023-09-29,36.57,36.57,36.57,36.57,UAH,USD
2023-09-22,36.57,36.57,36.57,36.57,UAH,USD
2023-09-15,36.57,36.57,36.57,36.57,UAH,USD
2023-09-08,36.57,36.57,36.57,36.57,UAH,USD
2023-09-01,36.56,36.891,36.56,36.57,UAH,USD
2023-08-25,36.56,36.56,36.56,36.56,UAH,USD
2023-08-18,36.562,36.562,36.56,36.56,UAH,USD
2023-08-11,36.562,36.562,36.562,36.562,UAH,USD
2023-08-04,36.562,36.562,36.562,36.562,UAH,USD
2023-07-28,36.564,36.564,36.562,36.562,UAH,USD
2023-07-21,36.564,36.564,36.564,36.564,UAH,USD
2023-07-14,36.565,36.565,36.564,36.564,UAH,USD
2023-07-07,36.565,36.565,36.565,36.565,UAH,USD
2023-06-30,36.568,36.568,36.565,36.565,UAH,USD
2023-06-23,36.568,36.568,36.568,36.568,UAH,USD
2023-06-16,36.568,36.568,36.568,36.568,UAH,USD
2023-06-09,36.568,36.568,36.568,36.568,UAH,USD
2023-06-02,36.5682,36.5682,36.568,36.568,UAH,USD
2023-05-26,36.5685,36.5685,36.5685,36.5685,UAH,USD
2023-05-19,36.5685,36.5685,36.5685,36.5685,UAH,USD
2023-05-12,36.5684,36.5685,36.5684,36.5685,UAH,USD
2023-05-05,36.5684,36.5684,36.5684,36.5684,UAH,USD
2023-04-28,36.5684,36.5684,36.5684,36.5684,UAH,USD
2023-04-21,36.5684,36.5684,36.5684,36.5684,UAH,USD
2023-04-14,36.5684,36.5684,36.5684,36.5684,UAH,USD
2023-04-07,36.5684,36.5684,36.5684,36.5684,UAH,USD
2023-03-31,36.5684,36.5684,36.5684,36.5684,UAH,USD
2023-03-24,36.5685,36.5685,36.5684,36.5684,UAH,USD
2023-03-17,36.5685,36.5685,36.5685,36.5685,UAH,USD
2023-03-10,36.5685,36.5685,36.5685,36.5685,UAH,USD
2023-03-03,36.5685,36.5685,36.5685,36.5685,UAH,USD
2023-02-24,36.565,36.5685,36.565,36.5685,UAH,USD
2023-02-17,36.565,36.565,36.565,36.565,UAH,USD
2023-02-10,36.565,36.565,36.565,36.565,UAH,USD
2023-02-03,36.565,36.565,36.565,36.565,UAH,USD
2023-01-27,36.565,36.7,36.565,36.565,UAH,USD
2023-01-20,36.565,36.565,36.565,36.565,UAH,USD
2023-01-13,36.565,36.569,36.565,36.565,UAH,USD
2023-01-06,36.9,36.9,36.565,36.565,UAH,USD
2022-12-30,36.834,36.92,36.0,36.9,UAH,USD
2022-12-23,36.7,36.85,36.7,36.834,UAH,USD
2022-12-16,36.57,36.7,36.5685,36.7,UAH,USD
2022-12-09,36.56,36.57,36.56,36.57,UAH,USD
2022-12-02,36.5705,36.5705,36.56,36.56,UAH,USD
2022-11-25,36.56,36.5705,36.56,36.5705,UAH,USD
2022-11-18,36.57,36.57,36.56,36.56,UAH,USD
2022-11-11,36.88,36.88,36.56,36.57,UAH,USD
2022-11-04,36.88,36.88,36.88,36.88,UAH,USD
2022-10-28,36.88,36.88,36.88,36.88,UAH,USD
2022-10-21,36.92,36.92,36.88,36.92,UAH,USD
2022-10-14,36.56,36.92,36.56,36.92,UAH,USD
2022-10-07,36.93,36.93,36.56,36.56,UAH,USD
2022-09-30,36.55,36.93,36.55,36.93,UAH,USD
2022-09-23,36.915,36.93,36.55,36.55,UAH,USD
2022-09-16,36.84,36.915,36.57,36.915,UAH,USD
2022-09-09,36.6985,36.925,36.6985,36.84,UAH,USD
2022-09-02,36.7995,36.7995,36.6985,36.6985,UAH,USD
2022-08-26,36.565,36.7995,36.565,36.7995,UAH,USD
2022-08-19,36.568,36.568,36.565,36.565,UAH,USD
2022-08-12,36.925,36.925,36.55,36.568,UAH,USD
2022-08-05,36.568,36.925,36.568,36.925,UAH,USD
2022-07-29,36.5685,36.57,36.565,36.568,UAH,USD
2022-07-22,29.5402,36.5685,29.5355,36.5685,UAH,USD
2022-07-15,29.54,29.5402,29.505,29.5402,UAH,USD
2022-07-08,29.54,29.55,29.54,29.55,UAH,USD
2022-07-01,29.54,29.55,29.52,29.54,UAH,USD
2022-06-24,29.54,29.55,29.52,29.54,UAH,USD
2022-06-17,29.55,29.55,29.54,29.54,UAH,USD
2022-06-10,29.52,29.55,29.5,29.55,UAH,USD
2022-06-03,29.55,29.55,29.52,29.52,UAH,USD
2022-05-27,29.52,29.55,29.5,29.55,UAH,USD
2022-05-20,29.5,29.55,29.5,29.52,UAH,USD
2022-05-13,29.52,29.55,29.5,29.5,UAH,USD
2022-05-06,29.55,29.55,29.25,29.52,UAH,USD
2022-04-29,29.5,29.55,29.5,29.55,UAH,USD
2022-04-22,29.55,29.55,29.42,29.5,UAH,USD
2022-04-15,29.35,29.58,29.35,29.55,UAH,USD
2022-04-08,29.55,29.55,28.98,29.35,UAH,USD
2022-04-01,29.5,29.55,29.3,29.55,UAH,USD
